"lsoa","area","chronic.condition.rate","long.term.illness.rate","income.deprivation","public.travel.sec.school","public.travel.prim.school","adults.no.qualifications.percent","urban"
"Pillgwenlly 2 ","Newport ",20.4,23.6,27,43,27,31.1,0
"Pillgwenlly 3 ","Newport ",25.9,26.5,33,57,29,32.5,0
"Pillgwenlly 4 ","Newport ",23.1,33,44,47,21,44.9,0
"Ringland 1 ","Newport ",15.9,26,28,37,22,32.3,0
"Ringland 2 ","Newport ",16.8,27.5,30,37,21,36,0
"Ringland 3 ","Newport ",15.4,24.5,21,36,23,19.7,0
"Ringland 4 ","Newport ",18.5,29.5,31,31,22,43.2,0
"Ringland 5 ","Newport ",20.3,31.6,35,35,23,42,0
"Ringland 6 ","Newport ",14,26.8,33,26,22,40,0
"Rogerstone 1 ","Newport ",9.4,12.4,2,70,21,4.9,0
"Rogerstone 2 ","Newport ",10.7,15.2,5,41,33,6,0
"Rogerstone 3 ","Newport ",17,24.9,18,37,26,19.5,0
"Rogerstone 4 ","Newport ",15.2,20.4,12,42,29,11.9,0
"Rogerstone 5 ","Newport ",11.6,16.6,4,48,24,5.3,0
"Rogerstone 6 ","Newport ",13.6,23.6,14,46,23,17.7,0
"St. Julians 1 ","Newport ",11.9,24.4,13,30,27,16.3,0
"St. Julians 2 ","Newport ",15.7,24.9,19,31,27,23.4,0
"St. Julians 3 ","Newport ",13,18.7,10,24,23,16.2,0
"St. Julians 4 ","Newport ",14.9,24.6,23,30,30,21.6,0
"St. Julians 5 ","Newport ",11.3,19,8,25,30,12.7,0
"St. Julians 6 ","Newport ",14.5,21.2,15,24,30,15,0
"Shaftesbury 1 ","Newport ",18.2,25.9,34,35,24,28.2,0
"Shaftesbury 2 ","Newport ",15.3,22.8,23,24,24,21.6,0
"Shaftesbury 3 ","Newport ",13.6,19.2,13,31,21,16.9,0
"Shaftesbury 4 ","Newport ",14.2,21,12,37,25,13.9,0
"Stow Hill 1 ","Newport ",16.3,24,24,41,22,17,0
"Stow Hill 2 ","Newport ",15.8,20.4,17,38,25,12.5,0
"Stow Hill 3 ","Newport ",17.8,26.1,27,41,21,20.7,0
"Tredegar Park 1 ","Newport ",15.7,20.8,18,25,28,18.8,0
"Tredegar Park 2 ","Newport ",21.8,31.1,39,26,22,43.6,0
"Victoria 1 ","Newport ",16.7,24.4,24,46,26,26.9,0
"Victoria 2 ","Newport ",20.5,27.5,29,35,20,24.2,0
"Victoria 3 ","Newport ",19.9,25.8,28,36,20,25.1,0
"Victoria 4 ","Newport ",25.9,27.7,28,37,20,28.5,0
"Marshfield 4 ","Newport ",15.7,20.1,7,82,88,13.3,0
"Marshfield 5 ","Newport ",8.8,13,6,30,38,7,0
