Timestamp,How many hours per week do you invest in studying this term (all modules)? ,How many hours of studying per week do you think would be ideal for you this term (all modules)?
2022/03/17 8:36:18 PM GMT,9,15
2022/03/17 10:01:44 PM GMT,26,35
2022/03/18 10:35:14 AM GMT,25,30
2022/03/18 1:30:35 PM GMT,14,28
2022/03/18 4:28:25 PM GMT,23,35
2022/03/18 6:29:10 PM GMT,4,6
